Subname,Name,Category,Modification,Red,Green,Blue,Blue_Yellow,Green_Magenta,Lightness,Hue,Saturation,Value
image (1)_Train_Apple_Black_rot,image (1)_Train_Apple_Black_rot_bilateral_filter,Train_Apple_Black_rot,bilateral_filter,0.319427105,0.292156905,0.379493915,0.0461578365,0.0089694290999999,0.31324532,0.2224555349999999,0.184112945,0.25398059
image (1)_Train_Apple_Black_rot,image (1)_Train_Apple_Black_rot_bilateral_filter_affine_transformation,Train_Apple_Black_rot,bilateral_filter_affine_transformation,0.3476872399999999,0.371325765,0.383066325,0.06053214,0.012876473,0.326595325,0.20315975,0.168348575,0.30358726
image (1)_Train_Apple_Black_rot,image (1)_Train_Apple_Black_rot_bilateral_filter_contrast,Train_Apple_Black_rot,bilateral_filter_contrast,0.3476872399999999,0.371325765,0.383066325,0.06053214,0.012876473,0.326595325,0.20315975,0.168348575,0.30358726
image (1)_Train_Apple_Black_rot,image (1)_Train_Apple_Black_rot_bilateral_filter_horizontal_flip,Train_Apple_Black_rot,bilateral_filter_horizontal_flip,0.3476872399999999,0.371325765,0.383066325,0.06053214,0.012876473,0.326595325,0.20315975,0.168348575,0.30358726
image (1)_Train_Apple_Black_rot,image (1)_Train_Apple_Black_rot_bilateral_filter_perspective_transformation,Train_Apple_Black_rot,bilateral_filter_perspective_transformation,0.3476872399999999,0.371325765,0.383066325,0.06053214,0.012876473,0.326595325,0.20315975,0.168348575,0.30358726
image (1)_Train_Apple_Black_rot,image (1)_Train_Apple_Black_rot_bilateral_filter_rotation,Train_Apple_Black_rot,bilateral_filter_rotation,0.3476872399999999,0.371325765,0.383066325,0.06053214,0.012876473,0.326595325,0.20315975,0.168348575,0.30358726
image (1)_Train_Apple_Black_rot,image (1)_Train_Apple_Black_rot_bilateral_filter_scale_zoom,Train_Apple_Black_rot,bilateral_filter_scale_zoom,0.3476872399999999,0.371325765,0.383066325,0.06053214,0.012876473,0.326595325,0.20315975,0.168348575,0.30358726
image (1)_Train_Apple_Black_rot,image (1)_Train_Apple_Black_rot_canny_edge,Train_Apple_Black_rot,canny_edge,0.319427105,0.292156905,0.379493915,0.0461578365,0.0089694290999999,0.31324532,0.2224555349999999,0.184112945,0.25398059
image (1)_Train_Apple_Black_rot,image (1)_Train_Apple_Black_rot_canny_edge_affine_transformation,Train_Apple_Black_rot,canny_edge_affine_transformation,0.323776165,0.363195955,0.35222122,0.063845692,0.011588078,0.295394075,0.22416396,0.184817725,0.263979535
image (1)_Train_Apple_Black_rot,image (1)_Train_Apple_Black_rot_canny_edge_contrast,Train_Apple_Black_rot,canny_edge_contrast,0.323776165,0.363195955,0.35222122,0.063845692,0.011588078,0.295394075,0.22416396,0.184817725,0.263979535
image (1)_Train_Apple_Black_rot,image (1)_Train_Apple_Black_rot_canny_edge_horizontal_flip,Train_Apple_Black_rot,canny_edge_horizontal_flip,0.323776165,0.363195955,0.35222122,0.063845692,0.011588078,0.295394075,0.22416396,0.184817725,0.263979535
image (1)_Train_Apple_Black_rot,image (1)_Train_Apple_Black_rot_canny_edge_perspective_transformation,Train_Apple_Black_rot,canny_edge_perspective_transformation,0.323776165,0.363195955,0.35222122,0.063845692,0.011588078,0.295394075,0.22416396,0.184817725,0.263979535
image (1)_Train_Apple_Black_rot,image (1)_Train_Apple_Black_rot_canny_edge_rotation,Train_Apple_Black_rot,canny_edge_rotation,0.323776165,0.363195955,0.35222122,0.063845692,0.011588078,0.295394075,0.22416396,0.184817725,0.263979535
image (1)_Train_Apple_Black_rot,image (1)_Train_Apple_Black_rot_canny_edge_scale_zoom,Train_Apple_Black_rot,canny_edge_scale_zoom,0.323776165,0.363195955,0.35222122,0.063845692,0.011588078,0.295394075,0.22416396,0.184817725,0.263979535
image (1)_Train_Apple_Black_rot,image (1)_Train_Apple_Black_rot_hsv,Train_Apple_Black_rot,hsv,0.319427105,0.292156905,0.379493915,0.0461578365,0.0089694290999999,0.31324532,0.2224555349999999,0.184112945,0.25398059
image (1)_Train_Apple_Black_rot,image (1)_Train_Apple_Black_rot_hsv_affine_transformation,Train_Apple_Black_rot,hsv_affine_transformation,0.3334547,0.362198815,0.38442442,0.068646175,0.0131631889999999,0.309248765,0.2197916349999999,0.17839273,0.2838629
image (1)_Train_Apple_Black_rot,image (1)_Train_Apple_Black_rot_hsv_contrast,Train_Apple_Black_rot,hsv_contrast,0.3334547,0.362198815,0.38442442,0.068646175,0.0131631889999999,0.309248765,0.2197916349999999,0.17839273,0.2838629
image (1)_Train_Apple_Black_rot,image (1)_Train_Apple_Black_rot_hsv_horizontal_flip,Train_Apple_Black_rot,hsv_horizontal_flip,0.3334547,0.362198815,0.38442442,0.068646175,0.0131631889999999,0.309248765,0.2197916349999999,0.17839273,0.2838629
